forget,algo,init,steps,seed,model_utility,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,source
forget05,NPO,kforge_s045,50,1,0.5766372993196035,0.03297498722002274,0.270231180244633,0.06317175078578816,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s045,50,2,0.5711375252141709,0.03345200678755646,0.2492235409087023,0.06866751016259043,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s045_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,100,0,0.5834898987981333,0.026420578829875013,0.2748724803689729,0.07032038540217428,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,100,1,0.5951789093062524,0.02590121053795883,0.2786988096389059,0.06719514345149362,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,100,2,0.579951693856046,0.027216624061911717,0.2699968625165942,0.0720068799666426,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,250,0,0.5924800317335487,0.018119101329320982,0.27263799308925735,0.0716595671887403,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,250,1,0.6023490110744805,0.018160330801501912,0.2805581980659378,0.06798792722934013,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,250,2,0.5989648498731802,0.01847823278354099,0.2831257309929977,0.06859248967032544,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,50,0,0.5723783927131962,0.03241344362269956,0.25179423548974705,0.06910760206389154,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,50,1,0.5755212122689304,0.03531356994757516,0.2828257170220087,0.06703355459185566,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,kforge_s06,50,2,0.5597184043531804,0.035842111263518744,0.25949706795979915,0.06376016482471379,tofu_Llama-3.2-1B-Instruct_forget05_NPO_kforge_s06_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,100,0,0.5734115391006986,0.02910714139627089,0.2768474645869057,0.06241293367120557,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,100,1,0.5712597034207505,0.027835798688483918,0.29144083646466257,0.05872374183592848,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,100,2,0.5882838063711191,0.027066735127518768,0.28498164636581574,0.058499344421191174,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,250,0,0.5838722978233164,0.02353772150228906,0.28597694213298064,0.06007765030762585,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,250,1,0.5903434150929198,0.022307375364598557,0.29505569567837986,0.05665746027702733,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,250,2,0.5968350166831626,0.020363204523382594,0.2766769011777935,0.05485785811805803,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,50,0,0.5451236096034746,0.051796672850177854,0.27832886435720616,0.06329948232272258,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,50,1,0.5340252154178013,0.05387785505954525,0.2667111067684565,0.06347857561334795,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget05,NPO,scratch,50,2,0.5469589162202809,0.04392159693321446,0.2675933163615798,0.06048491010238838,tofu_Llama-3.2-1B-Instruct_forget05_NPO_scratch_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,100,0,0.5802181191134942,0.3209296726807952,0.3986805221929569,0.12469823856772436,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,100,1,0.5869573043938014,0.3306859137117863,0.39985001197330355,0.11992039912838653,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,100,2,0.5901912311317267,0.34005201898515225,0.39894956830785616,0.1341011865937995,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,250,0,0.589897726083452,0.2257797831110656,0.36157401559180136,0.10320892908414259,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,250,1,0.5931149162403512,0.2315399298723787,0.3674928685149102,0.10709608495628734,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,250,2,0.5990215166105411,0.2335333777964115,0.3914821850319703,0.10345019589476037,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,50,0,0.5667173947206011,0.41278788674622774,0.4136560517277575,0.14660876914054088,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,50,1,0.5721435774381566,0.43764242857694624,0.42075509817024725,0.14825310357957533,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,kforge_s045,50,2,0.5736308873498275,0.4259999468922615,0.4190287609213525,0.15996424111484686,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_kforge_s045_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,100,0,0.5852649328290014,0.41988386020064355,0.43459769714707847,0.15343186675669362,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,100,1,0.5854839204351532,0.40000312894582746,0.43650032124956684,0.13809811252462384,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,100,2,0.5875451135906274,0.43154684409499167,0.4365133957209782,0.15413780424037785,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,250,0,0.5915519891608475,0.281406877823174,0.4092827687491578,0.1163683152277207,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,250,1,0.5912069890782264,0.269385257139802,0.4135352624758694,0.10832780740937263,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,250,2,0.6032919614150759,0.2884331875294447,0.41748768605565134,0.11341725763971809,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,50,0,0.5622095754728943,0.5463719041645527,0.47666367500988494,0.2067529053077098,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,50,1,0.5771052098927328,0.5215698701143264,0.4865580269126909,0.19575434288609883,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget05,SimNPO,scratch,50,2,0.5803532794389117,0.5796217277646065,0.4839753920573175,0.21742081145510891,tofu_Llama-3.2-1B-Instruct_forget05_SimNPO_scratch_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,100,0,0.5858597924973061,0.030643692908765844,0.29245868537528796,0.07428200793046777,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,100,1,0.5857250095810576,0.0285034742518053,0.27081155954690805,0.07494044586768664,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,100,2,0.5891464790970681,0.027631877526596328,0.2629119011086775,0.07002095549852987,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,250,0,0.5995771381553874,0.021678136547228347,0.28679623090996786,0.07349079676279867,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,250,1,0.5984872643987192,0.0209172712950496,0.2836090811692308,0.07434332244930221,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,250,2,0.6045751946169591,0.020679780968048077,0.25478695728314976,0.06794879730738657,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,50,0,0.5683767991282992,0.047521150029042475,0.27064408520245775,0.07242279679878387,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,50,1,0.5620931417351864,0.050212352351663866,0.2783336686803961,0.07417449379893697,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s045,50,2,0.5639702246861424,0.043525061623872714,0.2630252403806415,0.06821555654408741,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s045_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,100,0,0.5881799290297961,0.03196064507163101,0.2803590521007122,0.0735150417844961,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,100,1,0.5940473403334432,0.0314767387356369,0.2635924387355331,0.07676949821946813,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,100,2,0.5972282567978564,0.02884297986351271,0.256923175027362,0.06990039331617127,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,250,0,0.5997273911209898,0.022971848592229095,0.27525531212619214,0.07457006723821377,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S250_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,250,1,0.6034735931447369,0.02238512117605751,0.2675624961140328,0.07410704010419016,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S250_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,250,2,0.606870389537661,0.021591943222985747,0.2632201432522721,0.07306423352349131,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S250_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,50,0,0.5749460571495567,0.04613801042138221,0.2670852332476296,0.07139031540298137,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S50_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,50,1,0.5696244314120784,0.047689079013516676,0.26847258780888117,0.06950319465400315,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S50_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,kforge_s06,50,2,0.5769335401843974,0.0422921982028538,0.27381745986510975,0.07076003128749755,tofu_Llama-3.2-1B-Instruct_forget10_NPO_kforge_s06_S50_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,scratch,100,0,0.5611495778933028,0.0428803808792145,0.27485551542021797,0.06737593414669898,tofu_Llama-3.2-1B-Instruct_forget10_NPO_scratch_S100_seed0_v2lam0p01_corr_EVAL_FP32
forget10,NPO,scratch,100,1,0.5657313808424735,0.04528175217003991,0.2616966373614584,0.06562370097778708,tofu_Llama-3.2-1B-Instruct_forget10_NPO_scratch_S100_seed1_v2lam0p01_corr_EVAL_FP32
forget10,NPO,scratch,100,2,0.5788827115366458,0.04150246438581234,0.2613250699333828,0.062164222794753685,tofu_Llama-3.2-1B-Instruct_forget10_NPO_scratch_S100_seed2_v2lam0p01_corr_EVAL_FP32
forget10,NPO,scratch,250,0,0.5844329055324327,0.030619517613213246,0.2782808751978957,0.06726409986878004,tofu_Llama-3.2-1B-Instruct_forget10_NPO_scratch_S250_seed0_v2lam0p01_corr_EVAL_FP32
